Song,Artist,Billboard100,URI
Looking Through Patient Eyes,P.M. Dawn,1,2cRlkoXssyeXXHjjaF06Za
I'm Every Woman,Whitney Houston,1,2eHj0klWkwRQuIrNlPpCPa
Baby I'm Yours,Shai,1,3xSu3S8v206qwhob9N2LGJ
Come Undone,Duran Duran,1,0yfNXxlyXdmP0ue1iJijx1
I Don't Wanna Fight,Tina Turner,1,4D6i2CM29NHkUDI3jQ2afk
I'd Die Without You,P.M. Dawn,1,6FBlxkA9VKafooUNAi4W3p
"Whoot, There It Is",95 South,1,1PJM5F9oC7AKcdYROTv8EX
Hip Hop Hooray,Naughty by Nature,1,1w29UTa5uUvIri2tWtZ12Y
Another Sad Love Song,Toni Braxton,1,70iDnqYvxCPl3mPd3ddxgD
Will You Be There,Michael Jackson,1,1igW25R8lnb5ze9GWbuVsl
Comforter,Shai,1,6vHJpgX1QTYa9SVXankGVR
Good Enough,Bobby Brown,1,3WFQ6pEp1BRXrDKQ825ze7
What's Up?,4 Non Blondes,1,0jWgAnTrNZmOGmqgvHhZEm
All That She Wants,Ace of Base,1,6kWJvPfC4DgUpRsXKNa9z9
