,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
4385,above and beyond,buck owens,0,2XEsLZrgYIAEa2YNDiqPYI,0.52,0.525,8.0,-7.449,1.0,0.0412,0.597,0.0,0.0847,0.743,147.601,148000.0,5.0
4386,statue of a fool,jack greene,0,3dtukeghbTpei1SJhrT3Jd,0.474,0.249,10.0,-14.124,1.0,0.0346,0.845,0.00437,0.129,0.216,110.078,181107.0,3.0
4387,d-i-v-o-r-c-e,tammy wynette,0,4JPEuPsDG3nNJMAvvQ2Rr3,0.628,0.383,9.0,-9.216,1.0,0.0296,0.826,0.0,0.151,0.564,99.789,175440.0,4.0
4388,once a day,connie smith,0,1guPCVBMmglx2m1DM0xOBu,0.502,0.353,6.0,-9.957,1.0,0.0317,0.451,0.0,0.0583,0.751,136.746,140120.0,4.0
4389,the end of the world,skeeter davis,0,5DTOOkooKFUvWj1XQTFa09,0.232,0.216,10.0,-10.674,1.0,0.0314,0.936,4.93e-06,0.246,0.432,94.268,157573.0,3.0
4390,dang me,roger miller,0,20iH1uibQIUqNFk3wzG7AG,0.564,0.378,9.0,-14.468,1.0,0.168,0.705,0.000716,0.0723,0.687,197.325,102400.0,4.0
4391,fist city,loretta lynn,0,1YaPhbIo2oKWT5ejlMEL5Z,0.656,0.556,0.0,-8.761,1.0,0.0357,0.762,0.0,0.315,0.915,77.855,133933.0,4.0
4392,hello walls,faron young,0,4dim8F8t01qimHOmr6S3Gd,0.62,0.406,0.0,-10.421,1.0,0.0281,0.722,6.73e-06,0.114,0.695,101.489,146840.0,4.0
4393,walk through this world with me,george jones,0,21SxnQOkzD11IO3qToKvaG,0.435,0.295,7.0,-9.043,1.0,0.0276,0.449,0.000265,0.11,0.49,94.292,137960.0,4.0
4394,standing in the shadows,"hank williams, jr.",0,5NTDu48JtNkuXzs2Zbc1X1,0.524,0.3,2.0,-14.508,1.0,0.0354,0.902,0.0192,0.156,0.544,98.107,189573.0,4.0
4395,500 miles away from home,bobby bare,0,44AauRai27QWKEx4dKn0oU,0.501,0.429,7.0,-10.803,1.0,0.0293,0.669,0.0,0.539,0.551,108.948,162560.0,4.0
4396,chug-a-lug,roger miller,0,0mD2pnYVF8DB3oqtY5KM8h,0.717,0.324,11.0,-14.631,1.0,0.113,0.739,0.000258,0.139,0.888,172.189,119093.0,4.0
4397,(that's what you get) for lovin' me,waylon jennings,0,1FrG5yYxDbusk4dK3pQ9le,0.608,0.684,4.0,-9.806,1.0,0.0419,0.664,2.94e-06,0.0897,0.873,89.074,146133.0,4.0
4398,i've got a tiger by the tail - 2006 remastered version,buck owens,0,1GDAvJth0ebssC2XkG7RYM,0.701,0.497,4.0,-10.05,1.0,0.0316,0.595,3.12e-05,0.118,0.963,96.513,133867.0,4.0
4399,mama tried,merle haggard,0,04ilBEd1FVUhpv9ItR6yTN,0.694,0.489,2.0,-13.119,1.0,0.0535,0.744,2.59e-06,0.079,0.695,97.982,133493.0,4.0
4400,send me the pillow you dream on,johnny tillotson,0,60LBZcuecM8zRwXmZm5bQs,0.433,0.318,2.0,-9.149,1.0,0.0271,0.724,2.5e-05,0.347,0.432,109.32,173960.0,4.0
4401,harper valley p.t.a.,jeannie c. riley,0,2sZIclzhHlH8tzf7wry9hK,0.795,0.448,4.0,-13.427,1.0,0.0444,0.629,0.0,0.0659,0.96,122.318,194400.0,4.0
4402,one in a row,willie nelson,0,2CDh0bBvP0ZAXiibPZvpPC,0.545,0.194,10.0,-10.909,1.0,0.0279,0.724,0.000191,0.193,0.515,96.515,152987.0,4.0
4403,the bottle let me down,merle haggard,0,5zubqviYpJmjtzPWHRRy4P,0.699,0.301,2.0,-13.068,1.0,0.0336,0.829,0.0181,0.135,0.635,126.066,168533.0,4.0
4404,i've been everywhere - remastered,hank snow,0,1rFGwz7rswOuW2IdXPd0fv,0.449,0.537,6.0,-13.138,1.0,0.0392,0.551,0.000148,0.412,0.961,119.689,164640.0,4.0
4406,(margie's at) the lincoln park inn,bobby bare,0,0srp0yXqH0Axym0z7wLUQy,0.364,0.318,2.0,-13.345,1.0,0.0308,0.724,0.000234,0.151,0.525,131.155,198733.0,3.0
